category,dataset,scale,official_data,official_code,paper
Memory,LoCoMo,"10 conversations / about 2000 QA","https://github.com/snap-research/locomo/tree/main/data","https://github.com/snap-research/locomo","https://arxiv.org/abs/2402.17753"
Memory,LongMemEval,"500 questions","https://github.com/xiaowu0162/LongMemEval#data","https://github.com/xiaowu0162/LongMemEval","https://arxiv.org/abs/2410.10813"
Memory,LongMemEval-V2,"451 questions / up to 500 trajectories per haystack","https://huggingface.co/datasets/xiaowu0162/longmemeval-v2","https://github.com/xiaowu0162/LongMemEval-V2","https://arxiv.org/abs/2605.12493"
Memory,MemoryAgentBench,"less than 1000 rows / 76.6 MB","https://huggingface.co/datasets/ai-hyz/MemoryAgentBench","https://github.com/HUST-AI-HYZ/MemoryAgentBench","https://arxiv.org/abs/2507.05257"
Memory,MemBench,"5 scenario groups","https://github.com/import-myself/Membench/tree/main/MemData","https://github.com/import-myself/Membench","https://arxiv.org/abs/2506.21605"
Memory,PersonaMem,"32K / 128K / 1M-token variants","https://huggingface.co/datasets/bowen-upenn/PersonaMem","https://github.com/bowen-upenn/PersonaMem","https://arxiv.org/abs/2504.14225"
Memory,PersonaMem-v2,"1000 implicit preferences / 18549 training queries","https://huggingface.co/datasets/bowen-upenn/PersonaMem-v2","https://github.com/bowen-upenn/PersonaMem","https://arxiv.org/abs/2512.06688"
Memory,BEAM,"100 conversations / 2000 questions","https://huggingface.co/datasets/Mohammadta/BEAM","https://github.com/mohammadtavakoli78/BEAM","https://openreview.net/forum?id=DT7JyQC3MR"
Memory,REALTALK,"21-day real-world conversations","https://github.com/danny911kr/REALTALK/tree/main/data","https://github.com/danny911kr/REALTALK","https://arxiv.org/abs/2502.13270"
Memory,LifeBench,"long-horizon multi-source simulations","https://github.com/1754955896/LifeBench/tree/main/data","https://github.com/1754955896/LifeBench","https://arxiv.org/abs/2603.03781"
Memory,RHELM,"7 query types / 27 memory characteristics","https://microsoft.github.io/RHELM/","https://github.com/microsoft/RHELM","https://arxiv.org/abs/2605.31086"
Deep Research,DeepResearch Bench,"100 tasks / 22 domains","https://github.com/Ayanami0730/deep_research_bench/tree/main/data","https://github.com/Ayanami0730/deep_research_bench","https://arxiv.org/abs/2506.11763"
Deep Research,DeepResearch Bench II,"132 tasks / 9430 rubrics","https://github.com/imlrz/DeepResearch-Bench-II/blob/main/tasks_and_rubrics.jsonl","https://github.com/imlrz/DeepResearch-Bench-II","https://arxiv.org/abs/2601.08536"
Deep Research,LiveResearchBench,"100 tasks","https://huggingface.co/datasets/Salesforce/LiveResearchBench","https://github.com/SalesforceAIResearch/LiveResearchBench","https://arxiv.org/abs/2510.14240"
Deep Research,DEEPWEB-BENCH,"100 tasks / 6400 rubric cells","https://huggingface.co/datasets/xiesixiong/deepresearch-benchmark-2","https://github.com/sixiongxie1001-dot/deep-research-benchmark2.0","https://openreview.net/forum?id=6d50adf163ae6cad2247f24e895f07f5ddd1a72c"
Deep Research,DeepResearch-9K,"about 9000 tasks","https://huggingface.co/datasets/artillerywu/DeepResearch-9K","https://github.com/Applied-Machine-Learning-Lab/DeepResearch-R1","https://arxiv.org/abs/2603.01152"
Deep Research,DeepSearchQA,"900 prompts / 17 fields","https://huggingface.co/datasets/google/deepsearchqa","https://huggingface.co/datasets/google/deepsearchqa","https://arxiv.org/abs/2601.20975"
Deep Research,BrowseComp,"1266 questions","https://github.com/openai/simple-evals/tree/main/browsecomp","https://github.com/openai/simple-evals","https://arxiv.org/abs/2504.12516"
Deep Research,BrowseComp-ZH,"289 questions","https://github.com/PALIN2018/BrowseComp-ZH","https://github.com/PALIN2018/BrowseComp-ZH","https://arxiv.org/abs/2504.19314"
Deep Research,xbench-DeepSearch,"100 questions in DeepSearch-2510","https://huggingface.co/datasets/xbench/DeepSearch","https://github.com/xbench-ai/xbench-evals","https://xbench.org/files/Eval%20Card%20xbench-DeepSearch.pdf"
Deep Research,SealQA,"3 subsets / Seal-0 has 111 questions","https://huggingface.co/datasets/vtllms/sealqa","https://github.com/vtllms/sealqa","https://arxiv.org/abs/2506.01062"
Deep Research,GAIA,"more than 450 tasks","https://huggingface.co/datasets/gaia-benchmark/GAIA","https://huggingface.co/gaia-benchmark","https://arxiv.org/abs/2311.12983"
Deep Research,Humanity's Last Exam,"2500 questions","https://huggingface.co/datasets/cais/hle","https://lastexam.ai/","https://arxiv.org/abs/2501.14249"
Deep Research,WebWalkerQA,"680 verified / 15000 silver","https://huggingface.co/datasets/callanwu/WebWalkerQA","https://github.com/Alibaba-NLP/WebAgent","https://arxiv.org/abs/2501.07572"
Search,SimpleQA,"4326 questions","https://github.com/openai/simple-evals/blob/main/simpleqa_eval.py","https://github.com/openai/simple-evals","https://arxiv.org/abs/2411.04368"
Search,Search Arena 24K,"24069 conversations / about 12000 votes","https://huggingface.co/datasets/lmarena-ai/search-arena-24k","https://github.com/lmarena/search-arena","https://arxiv.org/abs/2506.05334"
Search,FRAMES,"824 questions","https://huggingface.co/datasets/google/frames-benchmark","https://huggingface.co/datasets/google/frames-benchmark","https://arxiv.org/abs/2409.12941"
Search,AssistantBench,"214 tasks / 258 websites","https://assistantbench.github.io/","https://github.com/AssistantBench/assistantbench","https://arxiv.org/abs/2407.15711"
Search,WebArena,"812 tasks","https://github.com/web-arena-x/webarena/tree/main/config_files","https://github.com/web-arena-x/webarena","https://arxiv.org/abs/2307.13854"
Search,VisualWebArena,"910 tasks","https://github.com/web-arena-x/visualwebarena/tree/main/config_files","https://github.com/web-arena-x/visualwebarena","https://arxiv.org/abs/2401.13649"
Search,WebBench,"5750 total tasks / about 2650 public rows","https://huggingface.co/datasets/Halluminate/WebBench","https://github.com/Halluminate/WebBench","https://webbench.ai/"
Search,HotpotQA,"about 113000 QA pairs","https://hotpotqa.github.io/","https://github.com/hotpotqa/hotpot","https://arxiv.org/abs/1809.09600"
Search,2WikiMultiHopQA,"about 192000 questions","https://github.com/Alab-NII/2wikimultihop","https://github.com/Alab-NII/2wikimultihop","https://arxiv.org/abs/2011.01060"
Search,MuSiQue,"25000 answerable / about 50000 full","https://github.com/StonyBrookNLP/musique/tree/main/data","https://github.com/StonyBrookNLP/musique","https://arxiv.org/abs/2108.00573"
Search,KILT,"11 datasets / 5 task types","https://github.com/facebookresearch/KILT#kilt-tasks","https://github.com/facebookresearch/KILT","https://arxiv.org/abs/2009.02252"
Search,FreshQA,"weekly-updated question set","https://github.com/freshllms/freshqa/tree/main/data","https://github.com/freshllms/freshqa","https://arxiv.org/abs/2310.03214"
